C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 148, col 9, Warning - Avoid setting styles directly via `element.style.marginBottom`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 162, col 13, Warning - Avoid setting styles directly via `element.style.width`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 163, col 13, Warning - Avoid setting styles directly via `element.style.borderCollapse`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 167, col 13, Warning - Avoid setting styles directly via `element.style.textAlign`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 168, col 71, Warning - Avoid setting styles directly via `element.style.padding`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 174, col 17, Warning - Avoid setting styles directly via `element.style.borderTop`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 177, col 17, Warning - Avoid setting styles directly via `element.style.padding`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 179, col 17, Warning - Avoid setting styles directly via `element.style.padding`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 181, col 17, Warning - Avoid setting styles directly via `element.style.padding`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 184, col 17, Warning - Avoid setting styles directly via `element.style.padding`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
